trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.999951808959328}",25,8,-64.42158029364036,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 1}",1
2,False,"{'a': 0.7, 'e': 0.9998072404820648}",20,0,-92.07491811115393,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.7, 'e': 0.9995663085020212}",20,0,-203.19136607304253,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 4}",0
4,False,"{'a': 0.7, 'e': 0.9992290362407229}",20,0,-72.68521507084456,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.7, 'e': 0.9987954562051724}",25,0,-35.67008411996334,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.7, 'e': 0.9982656101847159}",20,0,-91.15308389291116,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
7,False,"{'a': 0.7, 'e': 0.9976395492470157}",20,0,-85.13112996252474,"{0: 10, 1: 5, 2: 3, 3: 2, 4: 0}",0
8,False,"{'a': 0.7, 'e': 0.996917333733128}",30,0,-194.77789412428726,"{0: 18, 1: 3, 2: 4, 3: 2, 4: 3}",0
9,False,"{'a': 0.7, 'e': 0.9960990332516871}",20,0,-48.90362072708482,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.7, 'e': 0.9951847266721969}",30,11,-68.62676030169096,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 1}",1
11,False,"{'a': 0.7, 'e': 0.9941745021174282}",30,0,-166.23573551252076,"{0: 15, 1: 5, 2: 8, 3: 0, 4: 2}",0
12,False,"{'a': 0.7, 'e': 0.9930684569549263}",20,0,-68.49691415829035,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
13,False,"{'a': 0.7, 'e': 0.991866697787626}",20,11,-38.62674355779646,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
14,False,"{'a': 0.7, 'e': 0.9905693404435773}",25,0,-46.75440653697335,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.7, 'e': 0.989176509964781}",25,0,-128.74943350688272,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
16,False,"{'a': 0.7, 'e': 0.9876883405951378}",20,0,-83.46490049808443,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
17,False,"{'a': 0.7, 'e': 0.9861049757675088}",25,0,-111.65520661148987,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
18,False,"{'a': 0.7, 'e': 0.9844265680898916}",25,10,-56.816283011327656,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 1}",1
19,False,"{'a': 0.7, 'e': 0.9826532793307118}",20,0,-9.66937422032136,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
20,False,"{'a': 0.7, 'e': 0.9807852804032304}",20,0,-126.33816205193622,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
21,False,"{'a': 0.7, 'e': 0.9788227513490724}",25,0,-224.08688295684027,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 4}",0
22,False,"{'a': 0.7, 'e': 0.9767658813208725}",25,13,-43.21602867663664,"{0: 6, 1: 2, 2: 4, 3: 0, 4: 0}",1
23,False,"{'a': 0.7, 'e': 0.974614868564045}",20,5,-88.90236869108757,"{0: 8, 1: 0, 2: 4, 3: 3, 4: 0}",1
24,False,"{'a': 0.7, 'e': 0.9723699203976767}",25,0,-135.35382634328346,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
25,False,"{'a': 0.7, 'e': 0.970031253194544}",25,0,-233.02425051399086,"{0: 13, 1: 2, 2: 4, 3: 2, 4: 4}",0
26,False,"{'a': 0.7, 'e': 0.9675990923602598}",20,0,-45.77404829249246,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
27,False,"{'a': 0.7, 'e': 0.9650736723115474}",20,0,-14.929766350855564,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
28,False,"{'a': 0.7, 'e': 0.9624552364536473}",25,0,-225.50182611766968,"{0: 10, 1: 1, 2: 9, 3: 3, 4: 2}",0
29,False,"{'a': 0.7, 'e': 0.9597440371568574}",20,0,1.5302288401929578,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
30,False,"{'a': 0.7, 'e': 0.9569403357322089}",25,0,-206.26912840137337,"{0: 12, 1: 2, 2: 7, 3: 1, 4: 3}",0
31,False,"{'a': 0.7, 'e': 0.9540444024062805}",20,0,-151.4387848456087,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
32,False,"{'a': 0.7, 'e': 0.9510565162951536}",20,10,-91.46942301422818,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 2}",1
33,False,"{'a': 0.7, 'e': 0.9479769653775104}",20,11,-27.651521409402015,"{0: 4, 1: 3, 2: 2, 3: 0, 4: 0}",1
34,False,"{'a': 0.7, 'e': 0.944806046466878}",20,0,-52.23970402199448,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
35,False,"{'a': 0.7, 'e': 0.9415440651830208}",20,0,-54.347154182780685,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
