trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999951808959328}",20,0,-220.38970540802325,"{0: 7, 1: 4, 2: 3, 3: 3, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9998072404820648}",25,0,-125.7720184395728,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9995663085020212}",30,0,-164.12512969313244,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9992290362407229}",20,0,-118.97429025493557,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9987954562051724}",20,9,-57.652358811824676,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.9982656101847159}",25,0,-54.54425143263636,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9976395492470157}",20,0,-131.39930169032897,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.996917333733128}",25,0,-107.77303388153557,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9960990332516871}",20,0,-156.52885458361666,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9951847266721969}",25,0,-149.94732995680232,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9941745021174282}",25,0,-138.08451390334542,"{0: 16, 1: 0, 2: 5, 3: 3, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9930684569549263}",25,0,-70.30780866601606,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.991866697787626}",25,0,-149.54287985060475,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.9905693404435773}",20,0,-5.214344440040422,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.989176509964781}",25,0,-101.95406580764956,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9876883405951378}",25,0,-152.84467527465338,"{0: 12, 1: 7, 2: 3, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9861049757675088}",25,13,-111.6467709457411,"{0: 5, 1: 2, 2: 3, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.9844265680898916}",20,0,-159.4309116148496,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9826532793307118}",30,0,-202.83800778164567,"{0: 16, 1: 2, 2: 9, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.9807852804032304}",20,0,-53.72286985308418,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.9788227513490724}",20,7,0.4765528974079043,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.9767658813208725}",20,0,-130.4651568392552,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.974614868564045}",25,0,-157.95350299912076,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.9723699203976767}",25,0,-113.67784959255691,"{0: 15, 1: 1, 2: 5, 3: 4, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.970031253194544}",20,0,-69.79064088447333,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.9675990923602598}",35,0,-181.63039559419244,"{0: 24, 1: 0, 2: 5, 3: 4, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.9650736723115474}",20,10,-19.572747186880303,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.9624552364536473}",20,0,-170.49600637484437,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 3}",0
29,False,"{'a': 0.5, 'e': 0.9597440371568574}",30,0,-113.79278536515179,"{0: 22, 1: 3, 2: 1, 3: 2, 4: 2}",0
