trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-44.069117890037944,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-176.9698990819889,"{0: 9, 1: 4, 2: 9, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,6,-42.381872074158046,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-167.28846921413813,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-87.989867103744,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-130.61475862948944,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.43636624108913,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,7,-26.46201450421276,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-111.26485639126835,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-165.1947088769862,"{0: 11, 1: 1, 2: 3, 3: 3, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.11484636936774,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.7712685212382,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-163.9368511039767,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-69.12266225069645,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-165.65085663630953,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-136.98855630370784,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-174.12564292829188,"{0: 15, 1: 4, 2: 9, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-160.6136142223551,"{0: 11, 1: 3, 2: 8, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-147.68782879597148,"{0: 8, 1: 0, 2: 10, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.8253122077489,"{0: 11, 1: 1, 2: 5, 3: 3, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-146.5819327676769,"{0: 18, 1: 2, 2: 1, 3: 1, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-172.40819828654872,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-170.99844871984587,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-103.24474941146019,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-87.33553498328284,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,9,-43.37878914127189,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 1}",1
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-155.7734265833739,"{0: 18, 1: 5, 2: 3, 3: 2, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-109.34032404858388,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-174.06735061304119,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-206.09995670336366,"{0: 16, 1: 3, 2: 7, 3: 1, 4: 3}",0
